"dataset size","Random_advanced - _step","Random_advanced - _step__MIN","Random_advanced - _step__MAX","Random_advanced - advanced_log_likelihood","Random_advanced - advanced_log_likelihood__MIN","Random_advanced - advanced_log_likelihood__MAX","BIC_advanced - _step","BIC_advanced - _step__MIN","BIC_advanced - _step__MAX","BIC_advanced - advanced_log_likelihood","BIC_advanced - advanced_log_likelihood__MIN","BIC_advanced - advanced_log_likelihood__MAX","ChowLiu_advanced - _step","ChowLiu_advanced - _step__MIN","ChowLiu_advanced - _step__MAX","ChowLiu_advanced - advanced_log_likelihood","ChowLiu_advanced - advanced_log_likelihood__MIN","ChowLiu_advanced - advanced_log_likelihood__MAX"
"50","0","0","0","-20.177677154541016","-20.177677154541016","-20.177677154541016","0","0","0","NaN","","","0","0","0","-13.372858047485352","-13.372858047485352","-13.372858047485352"
"100","1","1","1","-31.476909637451172","-31.476909637451172","-31.476909637451172","1","1","1","-40.08116912841797","-40.08116912841797","-40.08116912841797","1","1","1","-24.40953826904297","-24.40953826904297","-24.40953826904297"
"150","2","2","2","-60.64874267578125","-60.64874267578125","-60.64874267578125","2","2","2","NaN","","","2","2","2","-37.89644241333008","-37.89644241333008","-37.89644241333008"
"200","3","3","3","-77.28954315185547","-77.28954315185547","-77.28954315185547","3","3","3","-44.95009231567383","-44.95009231567383","-44.95009231567383","3","3","3","-50.16595458984375","-50.16595458984375","-50.16595458984375"
"250","4","4","4","-101.23397064208984","-101.23397064208984","-101.23397064208984","4","4","4","-59.08817672729492","-59.08817672729492","-59.08817672729492","4","4","4","-51.667694091796875","-51.667694091796875","-51.667694091796875"
"300","5","5","5","-103.70814514160156","-103.70814514160156","-103.70814514160156","5","5","5","-68.50340270996094","-68.50340270996094","-68.50340270996094","5","5","5","-75.04932403564453","-75.04932403564453","-75.04932403564453"
"350","6","6","6","-123.7483901977539","-123.7483901977539","-123.7483901977539","6","6","6","-83.1272201538086","-83.1272201538086","-83.1272201538086","6","6","6","-71.46548461914062","-71.46548461914062","-71.46548461914062"
"400","7","7","7","-153.7718505859375","-153.7718505859375","-153.7718505859375","7","7","7","-83.61555480957031","-83.61555480957031","-83.61555480957031","7","7","7","-90.50028991699219","-90.50028991699219","-90.50028991699219"
"450","8","8","8","-164.95736694335938","-164.95736694335938","-164.95736694335938","8","8","8","-92.90729522705078","-92.90729522705078","-92.90729522705078","8","8","8","-81.67057800292969","-81.67057800292969","-81.67057800292969"
"500","9","9","9","-170.19003295898438","-170.19003295898438","-170.19003295898438","9","9","9","-109.52876281738281","-109.52876281738281","-109.52876281738281","9","9","9","-107.3580093383789","-107.3580093383789","-107.3580093383789"
"550","10","10","10","-190.70724487304688","-190.70724487304688","-190.70724487304688","10","10","10","-116.73410034179688","-116.73410034179688","-116.73410034179688","10","10","10","-107.29618072509766","-107.29618072509766","-107.29618072509766"
"600","11","11","11","-214.11959838867188","-214.11959838867188","-214.11959838867188","11","11","11","-118.9800033569336","-118.9800033569336","-118.9800033569336","11","11","11","-108.383056640625","-108.383056640625","-108.383056640625"
"650","12","12","12","-233.6678466796875","-233.6678466796875","-233.6678466796875","12","12","12","-131.19522094726562","-131.19522094726562","-131.19522094726562","12","12","12","-119.67826843261719","-119.67826843261719","-119.67826843261719"
"700","13","13","13","-227.81167602539062","-227.81167602539062","-227.81167602539062","13","13","13","-153.97926330566406","-153.97926330566406","-153.97926330566406","13","13","13","-137.55181884765625","-137.55181884765625","-137.55181884765625"
"750","14","14","14","-252.97152709960938","-252.97152709960938","-252.97152709960938","14","14","14","-153.6729278564453","-153.6729278564453","-153.6729278564453","14","14","14","-136.4221649169922","-136.4221649169922","-136.4221649169922"
"800","15","15","15","-323.09765625","-323.09765625","-323.09765625","15","15","15","-168.7268524169922","-168.7268524169922","-168.7268524169922","15","15","15","-160.91943359375","-160.91943359375","-160.91943359375"
"850","16","16","16","-311.4374084472656","-311.4374084472656","-311.4374084472656","16","16","16","-157.7685546875","-157.7685546875","-157.7685546875","16","16","16","-164.45809936523438","-164.45809936523438","-164.45809936523438"
"900","17","17","17","-325.0259094238281","-325.0259094238281","-325.0259094238281","17","17","17","-182.62277221679688","-182.62277221679688","-182.62277221679688","17","17","17","-171.63357543945312","-171.63357543945312","-171.63357543945312"
"950","18","18","18","-324.6081237792969","-324.6081237792969","-324.6081237792969","18","18","18","-178.54977416992188","-178.54977416992188","-178.54977416992188","18","18","18","-174.7985076904297","-174.7985076904297","-174.7985076904297"
"1000","19","19","19","-336.066650390625","-336.066650390625","-336.066650390625","19","19","19","-190.76258850097656","-190.76258850097656","-190.76258850097656","19","19","19","-180.60556030273438","-180.60556030273438","-180.60556030273438"
"1500","20","20","20","-458.77392578125","-458.77392578125","-458.77392578125","20","20","20","-254.864990234375","-254.864990234375","-254.864990234375","20","20","20","-285.74761962890625","-285.74761962890625","-285.74761962890625"
