"dataset size","Random_detailed - _step","Random_detailed - _step__MIN","Random_detailed - _step__MAX","Random_detailed - detailed_log_likelihood","Random_detailed - detailed_log_likelihood__MIN","Random_detailed - detailed_log_likelihood__MAX","BIC_detailed - _step","BIC_detailed - _step__MIN","BIC_detailed - _step__MAX","BIC_detailed - detailed_log_likelihood","BIC_detailed - detailed_log_likelihood__MIN","BIC_detailed - detailed_log_likelihood__MAX","ChowLiu_detailed - _step","ChowLiu_detailed - _step__MIN","ChowLiu_detailed - _step__MAX","ChowLiu_detailed - detailed_log_likelihood","ChowLiu_detailed - detailed_log_likelihood__MIN","ChowLiu_detailed - detailed_log_likelihood__MAX"
"50","0","0","0","-19.578079223632812","-19.578079223632812","-19.578079223632812","0","0","0","NaN","","","0","0","0","-15.242284774780273","-15.242284774780273","-15.242284774780273"
"100","1","1","1","-38.11466979980469","-38.11466979980469","-38.11466979980469","1","1","1","-36.028404235839844","-36.028404235839844","-36.028404235839844","1","1","1","-25.060327529907227","-25.060327529907227","-25.060327529907227"
"150","2","2","2","-60.169960021972656","-60.169960021972656","-60.169960021972656","2","2","2","-46.02345275878906","-46.02345275878906","-46.02345275878906","2","2","2","-28.42743492126465","-28.42743492126465","-28.42743492126465"
"200","3","3","3","-76.80201721191406","-76.80201721191406","-76.80201721191406","3","3","3","-56.24973678588867","-56.24973678588867","-56.24973678588867","3","3","3","-44.235931396484375","-44.235931396484375","-44.235931396484375"
"250","4","4","4","-106.0048599243164","-106.0048599243164","-106.0048599243164","4","4","4","-69.140869140625","-69.140869140625","-69.140869140625","4","4","4","-49.31108474731445","-49.31108474731445","-49.31108474731445"
"300","5","5","5","-90.5706787109375","-90.5706787109375","-90.5706787109375","5","5","5","-64.75477600097656","-64.75477600097656","-64.75477600097656","5","5","5","-58.24468231201172","-58.24468231201172","-58.24468231201172"
"350","6","6","6","-121.2698745727539","-121.2698745727539","-121.2698745727539","6","6","6","-81.54124450683594","-81.54124450683594","-81.54124450683594","6","6","6","-67.76854705810547","-67.76854705810547","-67.76854705810547"
"400","7","7","7","-151.52676391601562","-151.52676391601562","-151.52676391601562","7","7","7","-89.08119201660156","-89.08119201660156","-89.08119201660156","7","7","7","-72.58387756347656","-72.58387756347656","-72.58387756347656"
"450","8","8","8","-165.2096710205078","-165.2096710205078","-165.2096710205078","8","8","8","-92.16319274902344","-92.16319274902344","-92.16319274902344","8","8","8","-87.13424682617188","-87.13424682617188","-87.13424682617188"
"500","9","9","9","-165.26004028320312","-165.26004028320312","-165.26004028320312","9","9","9","-109.48981475830078","-109.48981475830078","-109.48981475830078","9","9","9","-87.04581451416016","-87.04581451416016","-87.04581451416016"
