"dataset size","Random - _step","Random - _step__MIN","Random - _step__MAX","Random - log_likelihood","Random - log_likelihood__MIN","Random - log_likelihood__MAX","K2 - _step","K2 - _step__MIN","K2 - _step__MAX","K2 - log_likelihood","K2 - log_likelihood__MIN","K2 - log_likelihood__MAX","ChowLiu - _step","ChowLiu - _step__MIN","ChowLiu - _step__MAX","ChowLiu - log_likelihood","ChowLiu - log_likelihood__MIN","ChowLiu - log_likelihood__MAX","BDs - _step","BDs - _step__MIN","BDs - _step__MAX","BDs - log_likelihood","BDs - log_likelihood__MIN","BDs - log_likelihood__MAX","BIC - _step","BIC - _step__MIN","BIC - _step__MAX","BIC - log_likelihood","BIC - log_likelihood__MIN","BIC - log_likelihood__MAX"
"50","0","0","0","-485.2650451660156","-485.2650451660156","-485.2650451660156","0","0","0","-444.22589111328125","-444.22589111328125","-444.22589111328125","0","0","0","-307.6811218261719","-307.6811218261719","-307.6811218261719","0","0","0","-354.24798583984375","-354.24798583984375","-354.24798583984375","0","0","0","-40.054996490478516","-40.054996490478516","-40.054996490478516"
"100","1","1","1","-850.7115478515625","-850.7115478515625","-850.7115478515625","1","1","1","-759.8541870117188","-759.8541870117188","-759.8541870117188","1","1","1","-613.27001953125","-613.27001953125","-613.27001953125","1","1","1","-669.298095703125","-669.298095703125","-669.298095703125","1","1","1","-159.8685760498047","-159.8685760498047","-159.8685760498047"
"150","2","2","2","-1113.8514404296875","-1113.8514404296875","-1113.8514404296875","2","2","2","-1160.830322265625","-1160.830322265625","-1160.830322265625","2","2","2","-866.734375","-866.734375","-866.734375","2","2","2","-888.2757568359375","-888.2757568359375","-888.2757568359375","2","2","2","-177.2909393310547","-177.2909393310547","-177.2909393310547"
"200","3","3","3","-1329.078857421875","-1329.078857421875","-1329.078857421875","3","3","3","-1449.1966552734375","-1449.1966552734375","-1449.1966552734375","3","3","3","-1101.6331787109375","-1101.6331787109375","-1101.6331787109375","3","3","3","-1122.338134765625","-1122.338134765625","-1122.338134765625","3","3","3","-288.10614013671875","-288.10614013671875","-288.10614013671875"
"250","4","4","4","-1689.9525146484375","-1689.9525146484375","-1689.9525146484375","4","4","4","-1712.7886962890625","-1712.7886962890625","-1712.7886962890625","4","4","4","-1379.0438232421875","-1379.0438232421875","-1379.0438232421875","4","4","4","-1353.373291015625","-1353.373291015625","-1353.373291015625","4","4","4","-410.38116455078125","-410.38116455078125","-410.38116455078125"
"300","5","5","5","-2118.36669921875","-2118.36669921875","-2118.36669921875","5","5","5","-1979.7554931640625","-1979.7554931640625","-1979.7554931640625","5","5","5","-1648.451904296875","-1648.451904296875","-1648.451904296875","5","5","5","-1642.7158203125","-1642.7158203125","-1642.7158203125","5","5","5","-589.15478515625","-589.15478515625","-589.15478515625"
"350","6","6","6","-2388.452880859375","-2388.452880859375","-2388.452880859375","6","6","6","-2270.13037109375","-2270.13037109375","-2270.13037109375","6","6","6","-1877.3304443359375","-1877.3304443359375","-1877.3304443359375","6","6","6","-1861.4000244140625","-1861.4000244140625","-1861.4000244140625","6","6","6","-529.7286376953125","-529.7286376953125","-529.7286376953125"
"400","7","7","7","-2602.56982421875","-2602.56982421875","-2602.56982421875","7","7","7","-2552.913330078125","-2552.913330078125","-2552.913330078125","7","7","7","-2091.276123046875","-2091.276123046875","-2091.276123046875","7","7","7","-2049.72265625","-2049.72265625","-2049.72265625","7","7","7","-653.8400268554688","-653.8400268554688","-653.8400268554688"
"450","8","8","8","-2924.6943359375","-2924.6943359375","-2924.6943359375","8","8","8","-2812.24072265625","-2812.24072265625","-2812.24072265625","8","8","8","-2313.326171875","-2313.326171875","-2313.326171875","8","8","8","-2286.38134765625","-2286.38134765625","-2286.38134765625","8","8","8","-1209.282958984375","-1209.282958984375","-1209.282958984375"
"500","9","9","9","-3219.11572265625","-3219.11572265625","-3219.11572265625","9","9","9","-2997.451904296875","-2997.451904296875","-2997.451904296875","9","9","9","-2633.55810546875","-2633.55810546875","-2633.55810546875","9","9","9","-2554.673583984375","-2554.673583984375","-2554.673583984375","9","9","9","-927.1912231445312","-927.1912231445312","-927.1912231445312"
"550","10","10","10","-3525.444580078125","-3525.444580078125","-3525.444580078125","10","10","10","-3367.146484375","-3367.146484375","-3367.146484375","10","10","10","-2840.72021484375","-2840.72021484375","-2840.72021484375","10","10","10","-2729.0166015625","-2729.0166015625","-2729.0166015625","10","10","10","-1695.6058349609375","-1695.6058349609375","-1695.6058349609375"
"600","11","11","11","-3863.71484375","-3863.71484375","-3863.71484375","11","11","11","-3610.10205078125","-3610.10205078125","-3610.10205078125","11","11","11","-3097.528564453125","-3097.528564453125","-3097.528564453125","11","11","11","-2970.58642578125","-2970.58642578125","-2970.58642578125","11","11","11","-2187.82470703125","-2187.82470703125","-2187.82470703125"
"650","12","12","12","-4133.1103515625","-4133.1103515625","-4133.1103515625","12","12","12","-3802.669921875","-3802.669921875","-3802.669921875","12","12","12","-3268.782470703125","-3268.782470703125","-3268.782470703125","12","12","12","-3296.508544921875","-3296.508544921875","-3296.508544921875","12","12","12","-2311.2236328125","-2311.2236328125","-2311.2236328125"
"700","13","13","13","-4398.95751953125","-4398.95751953125","-4398.95751953125","13","13","13","-4007.67822265625","-4007.67822265625","-4007.67822265625","13","13","13","-3525.251953125","-3525.251953125","-3525.251953125","13","13","13","-3428.546142578125","-3428.546142578125","-3428.546142578125","13","13","13","-2710.678466796875","-2710.678466796875","-2710.678466796875"
"750","14","14","14","-4726.5498046875","-4726.5498046875","-4726.5498046875","14","14","14","-4364.748046875","-4364.748046875","-4364.748046875","14","14","14","-3769.147216796875","-3769.147216796875","-3769.147216796875","14","14","14","-3712.205078125","-3712.205078125","-3712.205078125","14","14","14","-2675.23974609375","-2675.23974609375","-2675.23974609375"
"800","15","15","15","-4870.1708984375","-4870.1708984375","-4870.1708984375","15","15","15","-4579.2646484375","-4579.2646484375","-4579.2646484375","15","15","15","-4002.76953125","-4002.76953125","-4002.76953125","15","15","15","-3906.001220703125","-3906.001220703125","-3906.001220703125","15","15","15","-2785.642578125","-2785.642578125","-2785.642578125"
"850","16","16","16","-5323.8662109375","-5323.8662109375","-5323.8662109375","16","16","16","-4770.61083984375","-4770.61083984375","-4770.61083984375","16","16","16","-4209.96044921875","-4209.96044921875","-4209.96044921875","16","16","16","-4035.555908203125","-4035.555908203125","-4035.555908203125","16","16","16","-3450.42431640625","-3450.42431640625","-3450.42431640625"
"900","17","17","17","-5682.65869140625","-5682.65869140625","-5682.65869140625","17","17","17","-5147.06884765625","-5147.06884765625","-5147.06884765625","17","17","17","-4496.6240234375","-4496.6240234375","-4496.6240234375","17","17","17","-4353.22900390625","-4353.22900390625","-4353.22900390625","17","17","17","-2180.60498046875","-2180.60498046875","-2180.60498046875"
"950","18","18","18","-6068.66943359375","-6068.66943359375","-6068.66943359375","18","18","18","-5358.95751953125","-5358.95751953125","-5358.95751953125","18","18","18","-4744.90380859375","-4744.90380859375","-4744.90380859375","18","18","18","-4397.6552734375","-4397.6552734375","-4397.6552734375","18","18","18","-3586.52294921875","-3586.52294921875","-3586.52294921875"
