"dataset size","Random_very_basic - _step","Random_very_basic - _step__MIN","Random_very_basic - _step__MAX","Random_very_basic - very_basic_log_likelihood","Random_very_basic - very_basic_log_likelihood__MIN","Random_very_basic - very_basic_log_likelihood__MAX","BIC_very_basic - _step","BIC_very_basic - _step__MIN","BIC_very_basic - _step__MAX","BIC_very_basic - very_basic_log_likelihood","BIC_very_basic - very_basic_log_likelihood__MIN","BIC_very_basic - very_basic_log_likelihood__MAX","ChowLiu_very_basic - _step","ChowLiu_very_basic - _step__MIN","ChowLiu_very_basic - _step__MAX","ChowLiu_very_basic - very_basic_log_likelihood","ChowLiu_very_basic - very_basic_log_likelihood__MIN","ChowLiu_very_basic - very_basic_log_likelihood__MAX"
"50","0","0","0","-20.830930709838867","-20.830930709838867","-20.830930709838867","0","0","0","-19.324440002441406","-19.324440002441406","-19.324440002441406","0","0","0","-13.898956298828125","-13.898956298828125","-13.898956298828125"
"100","1","1","1","-44.306236267089844","-44.306236267089844","-44.306236267089844","1","1","1","-36.89827346801758","-36.89827346801758","-36.89827346801758","1","1","1","-29.732650756835938","-29.732650756835938","-29.732650756835938"
"150","2","2","2","-47.68782424926758","-47.68782424926758","-47.68782424926758","2","2","2","-46.01994323730469","-46.01994323730469","-46.01994323730469","2","2","2","-32.835716247558594","-32.835716247558594","-32.835716247558594"
"200","3","3","3","-87.44483947753906","-87.44483947753906","-87.44483947753906","3","3","3","-46.15965270996094","-46.15965270996094","-46.15965270996094","3","3","3","-47.62230682373047","-47.62230682373047","-47.62230682373047"
"250","4","4","4","-85.27595520019531","-85.27595520019531","-85.27595520019531","4","4","4","-61.40657424926758","-61.40657424926758","-61.40657424926758","4","4","4","-54.926612854003906","-54.926612854003906","-54.926612854003906"
"300","5","5","5","-112.6629409790039","-112.6629409790039","-112.6629409790039","5","5","5","-59.57680892944336","-59.57680892944336","-59.57680892944336","5","5","5","-61.7082405090332","-61.7082405090332","-61.7082405090332"
"350","6","6","6","-134.39340209960938","-134.39340209960938","-134.39340209960938","6","6","6","-92.29601287841797","-92.29601287841797","-92.29601287841797","6","6","6","-65.34449005126953","-65.34449005126953","-65.34449005126953"
"400","7","7","7","-153.9089813232422","-153.9089813232422","-153.9089813232422","7","7","7","-90.19790649414062","-90.19790649414062","-90.19790649414062","7","7","7","-86.80540466308594","-86.80540466308594","-86.80540466308594"
"450","8","8","8","-175.04815673828125","-175.04815673828125","-175.04815673828125","8","8","8","-96.34630584716797","-96.34630584716797","-96.34630584716797","8","8","8","-89.63658142089844","-89.63658142089844","-89.63658142089844"
"500","9","9","9","-166.15187072753906","-166.15187072753906","-166.15187072753906","9","9","9","-97.04185485839844","-97.04185485839844","-97.04185485839844","9","9","9","-95.24222564697266","-95.24222564697266","-95.24222564697266"
"550","10","10","10","-206.64334106445312","-206.64334106445312","-206.64334106445312","10","10","10","-105.65018463134766","-105.65018463134766","-105.65018463134766","10","10","10","-114.47596740722656","-114.47596740722656","-114.47596740722656"
"600","11","11","11","-208.1347198486328","-208.1347198486328","-208.1347198486328","11","11","11","-114.91669464111328","-114.91669464111328","-114.91669464111328","11","11","11","-97.3050537109375","-97.3050537109375","-97.3050537109375"
"650","12","12","12","-243.34512329101562","-243.34512329101562","-243.34512329101562","12","12","12","-129.78713989257812","-129.78713989257812","-129.78713989257812","12","12","12","-130.40853881835938","-130.40853881835938","-130.40853881835938"
"700","13","13","13","-256.552490234375","-256.552490234375","-256.552490234375","13","13","13","-142.92547607421875","-142.92547607421875","-142.92547607421875","13","13","13","-125.5457763671875","-125.5457763671875","-125.5457763671875"
"750","14","14","14","-272.74334716796875","-272.74334716796875","-272.74334716796875","14","14","14","-148.16932678222656","-148.16932678222656","-148.16932678222656","14","14","14","-137.5958251953125","-137.5958251953125","-137.5958251953125"
"800","15","15","15","-270.24810791015625","-270.24810791015625","-270.24810791015625","15","15","15","-158.72048950195312","-158.72048950195312","-158.72048950195312","15","15","15","-146.4713592529297","-146.4713592529297","-146.4713592529297"
"850","16","16","16","-344.5226745605469","-344.5226745605469","-344.5226745605469","16","16","16","-159.37229919433594","-159.37229919433594","-159.37229919433594","16","16","16","-172.48464965820312","-172.48464965820312","-172.48464965820312"
"900","17","17","17","-329.74517822265625","-329.74517822265625","-329.74517822265625","17","17","17","-159.59593200683594","-159.59593200683594","-159.59593200683594","17","17","17","-173.8817596435547","-173.8817596435547","-173.8817596435547"
"950","18","18","18","-334.6590881347656","-334.6590881347656","-334.6590881347656","18","18","18","-186.03427124023438","-186.03427124023438","-186.03427124023438","18","18","18","-159.9925537109375","-159.9925537109375","-159.9925537109375"
"1000","19","19","19","-356.6578063964844","-356.6578063964844","-356.6578063964844","19","19","19","-184.97225952148438","-184.97225952148438","-184.97225952148438","19","19","19","-160.1444549560547","-160.1444549560547","-160.1444549560547"
"1500","20","20","20","-554.5257568359375","-554.5257568359375","-554.5257568359375","20","20","20","-270.082275390625","-270.082275390625","-270.082275390625","20","20","20","-269.88934326171875","-269.88934326171875","-269.88934326171875"
"2000","21","21","21","-741.463134765625","-741.463134765625","-741.463134765625","21","21","21","-343.59344482421875","-343.59344482421875","-343.59344482421875","21","21","21","-344.370849609375","-344.370849609375","-344.370849609375"
"2500","22","22","22","-947.6175537109375","-947.6175537109375","-947.6175537109375","22","22","22","-431.1477966308594","-431.1477966308594","-431.1477966308594","22","22","22","-408.6110534667969","-408.6110534667969","-408.6110534667969"
