"dataset size","Random_basic - _step","Random_basic - _step__MIN","Random_basic - _step__MAX","Random_basic - basic_log_likelihood","Random_basic - basic_log_likelihood__MIN","Random_basic - basic_log_likelihood__MAX","BIC_basic - _step","BIC_basic - _step__MIN","BIC_basic - _step__MAX","BIC_basic - basic_log_likelihood","BIC_basic - basic_log_likelihood__MIN","BIC_basic - basic_log_likelihood__MAX","ChowLiu_basic - _step","ChowLiu_basic - _step__MIN","ChowLiu_basic - _step__MAX","ChowLiu_basic - basic_log_likelihood","ChowLiu_basic - basic_log_likelihood__MIN","ChowLiu_basic - basic_log_likelihood__MAX"
"50","0","0","0","-19.509231567382812","-19.509231567382812","-19.509231567382812","0","0","0","NaN","","","0","0","0","-14.822492599487305","-14.822492599487305","-14.822492599487305"
"100","1","1","1","-41.602012634277344","-41.602012634277344","-41.602012634277344","1","1","1","NaN","","","1","1","1","-25.558181762695312","-25.558181762695312","-25.558181762695312"
"150","2","2","2","-59.8563232421875","-59.8563232421875","-59.8563232421875","2","2","2","-45.978607177734375","-45.978607177734375","-45.978607177734375","2","2","2","-38.87996292114258","-38.87996292114258","-38.87996292114258"
"200","3","3","3","-79.91001892089844","-79.91001892089844","-79.91001892089844","3","3","3","-50.89467239379883","-50.89467239379883","-50.89467239379883","3","3","3","-46.21007537841797","-46.21007537841797","-46.21007537841797"
"250","4","4","4","-90.42210388183594","-90.42210388183594","-90.42210388183594","4","4","4","-58.72614288330078","-58.72614288330078","-58.72614288330078","4","4","4","-49.22136688232422","-49.22136688232422","-49.22136688232422"
"300","5","5","5","-104.5318603515625","-104.5318603515625","-104.5318603515625","5","5","5","-67.8493423461914","-67.8493423461914","-67.8493423461914","5","5","5","-65.32244873046875","-65.32244873046875","-65.32244873046875"
"350","6","6","6","-137.5093994140625","-137.5093994140625","-137.5093994140625","6","6","6","-92.20045471191406","-92.20045471191406","-92.20045471191406","6","6","6","-76.96846008300781","-76.96846008300781","-76.96846008300781"
"400","7","7","7","-148.00582885742188","-148.00582885742188","-148.00582885742188","7","7","7","-96.13587188720703","-96.13587188720703","-96.13587188720703","7","7","7","-73.47108459472656","-73.47108459472656","-73.47108459472656"
"450","8","8","8","-194.688720703125","-194.688720703125","-194.688720703125","8","8","8","-104.7989273071289","-104.7989273071289","-104.7989273071289","8","8","8","-93.01985931396484","-93.01985931396484","-93.01985931396484"
"500","9","9","9","-190.96298217773438","-190.96298217773438","-190.96298217773438","9","9","9","-111.13238525390625","-111.13238525390625","-111.13238525390625","9","9","9","-102.77054595947266","-102.77054595947266","-102.77054595947266"
"550","10","10","10","-221.2703399658203","-221.2703399658203","-221.2703399658203","10","10","10","-120.56424713134766","-120.56424713134766","-120.56424713134766","10","10","10","-93.05107116699219","-93.05107116699219","-93.05107116699219"
"600","11","11","11","-189.74017333984375","-189.74017333984375","-189.74017333984375","11","11","11","-130.2762451171875","-130.2762451171875","-130.2762451171875","11","11","11","-111.1889877319336","-111.1889877319336","-111.1889877319336"
"650","12","12","12","-239.53762817382812","-239.53762817382812","-239.53762817382812","12","12","12","-132.11375427246094","-132.11375427246094","-132.11375427246094","12","12","12","-121.79557037353516","-121.79557037353516","-121.79557037353516"
"700","13","13","13","-260.5065002441406","-260.5065002441406","-260.5065002441406","13","13","13","-141.31027221679688","-141.31027221679688","-141.31027221679688","13","13","13","-131.53173828125","-131.53173828125","-131.53173828125"
"750","14","14","14","-245.3294219970703","-245.3294219970703","-245.3294219970703","14","14","14","-129.6151123046875","-129.6151123046875","-129.6151123046875","14","14","14","-144.5167236328125","-144.5167236328125","-144.5167236328125"
"800","15","15","15","-331.6817626953125","-331.6817626953125","-331.6817626953125","15","15","15","-154.03564453125","-154.03564453125","-154.03564453125","15","15","15","-139.84982299804688","-139.84982299804688","-139.84982299804688"
"850","16","16","16","-302.45623779296875","-302.45623779296875","-302.45623779296875","16","16","16","-154.30453491210938","-154.30453491210938","-154.30453491210938","16","16","16","-159.82888793945312","-159.82888793945312","-159.82888793945312"
"900","17","17","17","-353.3420104980469","-353.3420104980469","-353.3420104980469","17","17","17","-173.77610778808594","-173.77610778808594","-173.77610778808594","17","17","17","-158.3490447998047","-158.3490447998047","-158.3490447998047"
"950","18","18","18","-333.73095703125","-333.73095703125","-333.73095703125","18","18","18","-195.40919494628906","-195.40919494628906","-195.40919494628906","18","18","18","-172.17379760742188","-172.17379760742188","-172.17379760742188"
"1000","19","19","19","-397.6805725097656","-397.6805725097656","-397.6805725097656","19","19","19","-191.33973693847656","-191.33973693847656","-191.33973693847656","19","19","19","-180.5970001220703","-180.5970001220703","-180.5970001220703"
"1500","20","20","20","-571.8978271484375","-571.8978271484375","-571.8978271484375","20","20","20","-285.4832458496094","-285.4832458496094","-285.4832458496094","20","20","20","-285.55047607421875","-285.55047607421875","-285.55047607421875"
"2000","21","21","21","-678.9598388671875","-678.9598388671875","-678.9598388671875","21","21","21","-344.4013671875","-344.4013671875","-344.4013671875","21","21","21","-368.353515625","-368.353515625","-368.353515625"
"2500","22","22","22","-923.4613037109375","-923.4613037109375","-923.4613037109375","22","22","22","-465.27105712890625","-465.27105712890625","-465.27105712890625","22","22","22","-449.82110595703125","-449.82110595703125","-449.82110595703125"
"3000","23","23","23","-1147.605712890625","-1147.605712890625","-1147.605712890625","23","23","23","-524.2508544921875","-524.2508544921875","-524.2508544921875","23","23","23","-530.7611083984375","-530.7611083984375","-530.7611083984375"
"3500","24","24","24","-1239.787353515625","-1239.787353515625","-1239.787353515625","24","24","24","-602.6470947265625","-602.6470947265625","-602.6470947265625","24","24","24","-613.2583618164062","-613.2583618164062","-613.2583618164062"
"4000","25","25","25","-1465.1917724609375","-1465.1917724609375","-1465.1917724609375","25","25","25","-682.721923828125","-682.721923828125","-682.721923828125","25","25","25","-720.9509887695312","-720.9509887695312","-720.9509887695312"
"4500","26","26","26","-1652.610595703125","-1652.610595703125","-1652.610595703125","26","26","26","-775.5175170898438","-775.5175170898438","-775.5175170898438","26","26","26","-785.7650146484375","-785.7650146484375","-785.7650146484375"
"5000","27","27","27","-1876.622314453125","-1876.622314453125","-1876.622314453125","27","27","27","-814.3508911132812","-814.3508911132812","-814.3508911132812","27","27","27","-943.2083129882812","-943.2083129882812","-943.2083129882812"
"5500","28","28","28","-2112.517578125","-2112.517578125","-2112.517578125","28","28","28","-922.99267578125","-922.99267578125","-922.99267578125","28","28","28","-1005.5552978515625","-1005.5552978515625","-1005.5552978515625"
"6000","29","29","29","-2079.658935546875","-2079.658935546875","-2079.658935546875","29","29","29","-972.86376953125","-972.86376953125","-972.86376953125","29","29","29","-1091.568115234375","-1091.568115234375","-1091.568115234375"
"6500","30","30","30","-2133.300048828125","-2133.300048828125","-2133.300048828125","30","30","30","-1079.4429931640625","-1079.4429931640625","-1079.4429931640625","30","30","30","-1172.838623046875","-1172.838623046875","-1172.838623046875"
"7000","31","31","31","-2617.275390625","-2617.275390625","-2617.275390625","31","31","31","-1202.9354248046875","-1202.9354248046875","-1202.9354248046875","31","31","31","-1233.457275390625","-1233.457275390625","-1233.457275390625"
"7500","32","32","32","-2690.20947265625","-2690.20947265625","-2690.20947265625","32","32","32","-1195.697998046875","-1195.697998046875","-1195.697998046875","32","32","32","-1299.3779296875","-1299.3779296875","-1299.3779296875"
"8000","33","33","33","-2925.725830078125","-2925.725830078125","-2925.725830078125","33","33","33","-1402.8592529296875","-1402.8592529296875","-1402.8592529296875","33","33","33","-1456.8922119140625","-1456.8922119140625","-1456.8922119140625"
"8500","34","34","34","-3021.728759765625","-3021.728759765625","-3021.728759765625","34","34","34","-1463.24951171875","-1463.24951171875","-1463.24951171875","34","34","34","-1508.125732421875","-1508.125732421875","-1508.125732421875"
"9000","35","35","35","-3357.03955078125","-3357.03955078125","-3357.03955078125","35","35","35","-1529.870849609375","-1529.870849609375","-1529.870849609375","35","35","35","-1616.881591796875","-1616.881591796875","-1616.881591796875"
"9500","36","36","36","-3453.552001953125","-3453.552001953125","-3453.552001953125","36","36","36","-1596.39453125","-1596.39453125","-1596.39453125","36","36","36","-1709.9759521484375","-1709.9759521484375","-1709.9759521484375"
"10000","37","37","37","-3325.284423828125","-3325.284423828125","-3325.284423828125","37","37","37","-1649.318359375","-1649.318359375","-1649.318359375","37","37","37","-1782.9332275390625","-1782.9332275390625","-1782.9332275390625"
"15000","38","38","38","-5758.25048828125","-5758.25048828125","-5758.25048828125","38","38","38","-2558.830810546875","-2558.830810546875","-2558.830810546875","38","38","38","-2658.62109375","-2658.62109375","-2658.62109375"
"20000","39","39","39","-7276.14208984375","-7276.14208984375","-7276.14208984375","39","39","39","-3405.502685546875","-3405.502685546875","-3405.502685546875","39","39","39","-3578.78759765625","-3578.78759765625","-3578.78759765625"
"25000","40","40","40","-9467.9921875","-9467.9921875","-9467.9921875","40","40","40","-4317.693359375","-4317.693359375","-4317.693359375","40","40","40","-4472.76416015625","-4472.76416015625","-4472.76416015625"
"30000","41","41","41","-11383.986328125","-11383.986328125","-11383.986328125","41","41","41","-5025.31201171875","-5025.31201171875","-5025.31201171875","41","41","41","-5387.73486328125","-5387.73486328125","-5387.73486328125"
