"dataset size","Random_very_basic - _step","Random_very_basic - _step__MIN","Random_very_basic - _step__MAX","Random_very_basic - very_basic_log_likelihood","Random_very_basic - very_basic_log_likelihood__MIN","Random_very_basic - very_basic_log_likelihood__MAX","Random_basic - _step","Random_basic - _step__MIN","Random_basic - _step__MAX","Random_basic - basic_log_likelihood","Random_basic - basic_log_likelihood__MIN","Random_basic - basic_log_likelihood__MAX","Random_advanced - _step","Random_advanced - _step__MIN","Random_advanced - _step__MAX","Random_advanced - advanced_log_likelihood","Random_advanced - advanced_log_likelihood__MIN","Random_advanced - advanced_log_likelihood__MAX","Random_detailed - _step","Random_detailed - _step__MIN","Random_detailed - _step__MAX","Random_detailed - detailed_log_likelihood","Random_detailed - detailed_log_likelihood__MIN","Random_detailed - detailed_log_likelihood__MAX","BIC_advanced - _step","BIC_advanced - _step__MIN","BIC_advanced - _step__MAX","BIC_advanced - advanced_log_likelihood","BIC_advanced - advanced_log_likelihood__MIN","BIC_advanced - advanced_log_likelihood__MAX","BIC_detailed - _step","BIC_detailed - _step__MIN","BIC_detailed - _step__MAX","BIC_detailed - detailed_log_likelihood","BIC_detailed - detailed_log_likelihood__MIN","BIC_detailed - detailed_log_likelihood__MAX","ChowLiu_advanced - _step","ChowLiu_advanced - _step__MIN","ChowLiu_advanced - _step__MAX","ChowLiu_advanced - advanced_log_likelihood","ChowLiu_advanced - advanced_log_likelihood__MIN","ChowLiu_advanced - advanced_log_likelihood__MAX","ChowLiu_detailed - _step","ChowLiu_detailed - _step__MIN","ChowLiu_detailed - _step__MAX","ChowLiu_detailed - detailed_log_likelihood","ChowLiu_detailed - detailed_log_likelihood__MIN","ChowLiu_detailed - detailed_log_likelihood__MAX","BIC_basic - _step","BIC_basic - _step__MIN","BIC_basic - _step__MAX","BIC_basic - basic_log_likelihood","BIC_basic - basic_log_likelihood__MIN","BIC_basic - basic_log_likelihood__MAX","BIC_very_basic - _step","BIC_very_basic - _step__MIN","BIC_very_basic - _step__MAX","BIC_very_basic - very_basic_log_likelihood","BIC_very_basic - very_basic_log_likelihood__MIN","BIC_very_basic - very_basic_log_likelihood__MAX","ChowLiu_basic - _step","ChowLiu_basic - _step__MIN","ChowLiu_basic - _step__MAX","ChowLiu_basic - basic_log_likelihood","ChowLiu_basic - basic_log_likelihood__MIN","ChowLiu_basic - basic_log_likelihood__MAX","ChowLiu_very_basic - _step","ChowLiu_very_basic - _step__MIN","ChowLiu_very_basic - _step__MAX","ChowLiu_very_basic - very_basic_log_likelihood","ChowLiu_very_basic - very_basic_log_likelihood__MIN","ChowLiu_very_basic - very_basic_log_likelihood__MAX"
"50","0","0","0","-20.830930709838867","-20.830930709838867","-20.830930709838867","0","0","0","-19.509231567382812","-19.509231567382812","-19.509231567382812","0","0","0","-20.177677154541016","-20.177677154541016","-20.177677154541016","0","0","0","-19.578079223632812","-19.578079223632812","-19.578079223632812","0","0","0","NaN","","","0","0","0","NaN","","","0","0","0","-13.372858047485352","-13.372858047485352","-13.372858047485352","0","0","0","-15.242284774780273","-15.242284774780273","-15.242284774780273","0","0","0","NaN","","","0","0","0","-19.324440002441406","-19.324440002441406","-19.324440002441406","0","0","0","-14.822492599487305","-14.822492599487305","-14.822492599487305","0","0","0","-13.898956298828125","-13.898956298828125","-13.898956298828125"
"100","1","1","1","-44.306236267089844","-44.306236267089844","-44.306236267089844","1","1","1","-41.602012634277344","-41.602012634277344","-41.602012634277344","1","1","1","-31.476909637451172","-31.476909637451172","-31.476909637451172","1","1","1","-38.11466979980469","-38.11466979980469","-38.11466979980469","1","1","1","-40.08116912841797","-40.08116912841797","-40.08116912841797","1","1","1","-36.028404235839844","-36.028404235839844","-36.028404235839844","1","1","1","-24.40953826904297","-24.40953826904297","-24.40953826904297","1","1","1","-25.060327529907227","-25.060327529907227","-25.060327529907227","1","1","1","NaN","","","1","1","1","-36.89827346801758","-36.89827346801758","-36.89827346801758","1","1","1","-25.558181762695312","-25.558181762695312","-25.558181762695312","1","1","1","-29.732650756835938","-29.732650756835938","-29.732650756835938"
"150","2","2","2","-47.68782424926758","-47.68782424926758","-47.68782424926758","2","2","2","-59.8563232421875","-59.8563232421875","-59.8563232421875","2","2","2","-60.64874267578125","-60.64874267578125","-60.64874267578125","2","2","2","-60.169960021972656","-60.169960021972656","-60.169960021972656","2","2","2","NaN","","","2","2","2","-46.02345275878906","-46.02345275878906","-46.02345275878906","2","2","2","-37.89644241333008","-37.89644241333008","-37.89644241333008","2","2","2","-28.42743492126465","-28.42743492126465","-28.42743492126465","2","2","2","-45.978607177734375","-45.978607177734375","-45.978607177734375","2","2","2","-46.01994323730469","-46.01994323730469","-46.01994323730469","2","2","2","-38.87996292114258","-38.87996292114258","-38.87996292114258","2","2","2","-32.835716247558594","-32.835716247558594","-32.835716247558594"
"200","3","3","3","-87.44483947753906","-87.44483947753906","-87.44483947753906","3","3","3","-79.91001892089844","-79.91001892089844","-79.91001892089844","3","3","3","-77.28954315185547","-77.28954315185547","-77.28954315185547","3","3","3","-76.80201721191406","-76.80201721191406","-76.80201721191406","3","3","3","-44.95009231567383","-44.95009231567383","-44.95009231567383","3","3","3","-56.24973678588867","-56.24973678588867","-56.24973678588867","3","3","3","-50.16595458984375","-50.16595458984375","-50.16595458984375","3","3","3","-44.235931396484375","-44.235931396484375","-44.235931396484375","3","3","3","-50.89467239379883","-50.89467239379883","-50.89467239379883","3","3","3","-46.15965270996094","-46.15965270996094","-46.15965270996094","3","3","3","-46.21007537841797","-46.21007537841797","-46.21007537841797","3","3","3","-47.62230682373047","-47.62230682373047","-47.62230682373047"
"250","4","4","4","-85.27595520019531","-85.27595520019531","-85.27595520019531","4","4","4","-90.42210388183594","-90.42210388183594","-90.42210388183594","4","4","4","-101.23397064208984","-101.23397064208984","-101.23397064208984","4","4","4","-106.0048599243164","-106.0048599243164","-106.0048599243164","4","4","4","-59.08817672729492","-59.08817672729492","-59.08817672729492","4","4","4","-69.140869140625","-69.140869140625","-69.140869140625","4","4","4","-51.667694091796875","-51.667694091796875","-51.667694091796875","4","4","4","-49.31108474731445","-49.31108474731445","-49.31108474731445","4","4","4","-58.72614288330078","-58.72614288330078","-58.72614288330078","4","4","4","-61.40657424926758","-61.40657424926758","-61.40657424926758","4","4","4","-49.22136688232422","-49.22136688232422","-49.22136688232422","4","4","4","-54.926612854003906","-54.926612854003906","-54.926612854003906"
"300","5","5","5","-112.6629409790039","-112.6629409790039","-112.6629409790039","5","5","5","-104.5318603515625","-104.5318603515625","-104.5318603515625","5","5","5","-103.70814514160156","-103.70814514160156","-103.70814514160156","5","5","5","-90.5706787109375","-90.5706787109375","-90.5706787109375","5","5","5","-68.50340270996094","-68.50340270996094","-68.50340270996094","5","5","5","-64.75477600097656","-64.75477600097656","-64.75477600097656","5","5","5","-75.04932403564453","-75.04932403564453","-75.04932403564453","5","5","5","-58.24468231201172","-58.24468231201172","-58.24468231201172","5","5","5","-67.8493423461914","-67.8493423461914","-67.8493423461914","5","5","5","-59.57680892944336","-59.57680892944336","-59.57680892944336","5","5","5","-65.32244873046875","-65.32244873046875","-65.32244873046875","5","5","5","-61.7082405090332","-61.7082405090332","-61.7082405090332"
"350","6","6","6","-134.39340209960938","-134.39340209960938","-134.39340209960938","6","6","6","-137.5093994140625","-137.5093994140625","-137.5093994140625","6","6","6","-123.7483901977539","-123.7483901977539","-123.7483901977539","6","6","6","-121.2698745727539","-121.2698745727539","-121.2698745727539","6","6","6","-83.1272201538086","-83.1272201538086","-83.1272201538086","6","6","6","-81.54124450683594","-81.54124450683594","-81.54124450683594","6","6","6","-71.46548461914062","-71.46548461914062","-71.46548461914062","6","6","6","-67.76854705810547","-67.76854705810547","-67.76854705810547","6","6","6","-92.20045471191406","-92.20045471191406","-92.20045471191406","6","6","6","-92.29601287841797","-92.29601287841797","-92.29601287841797","6","6","6","-76.96846008300781","-76.96846008300781","-76.96846008300781","6","6","6","-65.34449005126953","-65.34449005126953","-65.34449005126953"
"400","7","7","7","-153.9089813232422","-153.9089813232422","-153.9089813232422","7","7","7","-148.00582885742188","-148.00582885742188","-148.00582885742188","7","7","7","-153.7718505859375","-153.7718505859375","-153.7718505859375","7","7","7","-151.52676391601562","-151.52676391601562","-151.52676391601562","7","7","7","-83.61555480957031","-83.61555480957031","-83.61555480957031","7","7","7","-89.08119201660156","-89.08119201660156","-89.08119201660156","7","7","7","-90.50028991699219","-90.50028991699219","-90.50028991699219","7","7","7","-72.58387756347656","-72.58387756347656","-72.58387756347656","7","7","7","-96.13587188720703","-96.13587188720703","-96.13587188720703","7","7","7","-90.19790649414062","-90.19790649414062","-90.19790649414062","7","7","7","-73.47108459472656","-73.47108459472656","-73.47108459472656","7","7","7","-86.80540466308594","-86.80540466308594","-86.80540466308594"
"450","8","8","8","-175.04815673828125","-175.04815673828125","-175.04815673828125","8","8","8","-194.688720703125","-194.688720703125","-194.688720703125","8","8","8","-164.95736694335938","-164.95736694335938","-164.95736694335938","8","8","8","-165.2096710205078","-165.2096710205078","-165.2096710205078","8","8","8","-92.90729522705078","-92.90729522705078","-92.90729522705078","8","8","8","-92.16319274902344","-92.16319274902344","-92.16319274902344","8","8","8","-81.67057800292969","-81.67057800292969","-81.67057800292969","8","8","8","-87.13424682617188","-87.13424682617188","-87.13424682617188","8","8","8","-104.7989273071289","-104.7989273071289","-104.7989273071289","8","8","8","-96.34630584716797","-96.34630584716797","-96.34630584716797","8","8","8","-93.01985931396484","-93.01985931396484","-93.01985931396484","8","8","8","-89.63658142089844","-89.63658142089844","-89.63658142089844"
"500","9","9","9","-166.15187072753906","-166.15187072753906","-166.15187072753906","9","9","9","-190.96298217773438","-190.96298217773438","-190.96298217773438","9","9","9","-170.19003295898438","-170.19003295898438","-170.19003295898438","9","9","9","-165.26004028320312","-165.26004028320312","-165.26004028320312","9","9","9","-109.52876281738281","-109.52876281738281","-109.52876281738281","9","9","9","-109.48981475830078","-109.48981475830078","-109.48981475830078","9","9","9","-107.3580093383789","-107.3580093383789","-107.3580093383789","9","9","9","-87.04581451416016","-87.04581451416016","-87.04581451416016","9","9","9","-111.13238525390625","-111.13238525390625","-111.13238525390625","9","9","9","-97.04185485839844","-97.04185485839844","-97.04185485839844","9","9","9","-102.77054595947266","-102.77054595947266","-102.77054595947266","9","9","9","-95.24222564697266","-95.24222564697266","-95.24222564697266"
